gmlbestand;gmlnaam;dbnaam;extractieview
bgt_begroeidterreindeel.gml;plantcover;BGT_BEGROEIDTERREINDEEL;vw_bgt_begroeidterreindeel
;;BGT_KRUINLIJN;vw_bgt_kruinlijn
;;BGT_NUMMERAANDUIDINGREEKS;vw_bgt_nummeraanduidingreeks
bgt_onbegroeidterreindeel.gml;onbegroeidterreindeel;BGT_ONBEGROEIDTERREINDEEL;vw_bgt_onbegroeidterreindeel
bgt_ondersteunendwaterdeel.gml;ondersteunendwaterdeel;BGT_ONDERSTEUNENDWATERDEEL;vw_bgt_ondersteunendwaterdeel
bgt_ondersteunendwegdeel.gml;auxiliarytrafficarea;BGT_ONDERSTEUNENDWEGDEEL;vw_bgt_ondersteunendwegdeel
bgt_ongeclassificeerdobject.gml;ongeclassificeerdobject;BGT_ONGECLASSIFICEERDOBJECT;vw_bgt_ongeclassificeerdobject
bgt_openbareruimtelabel.gml;openbareruimtelabel;BGT_OPENBARERUIMTELABEL;vw_bgt_openbareruimtelabel
bgt_overbruggingsdeel.gml;bridgeconstructionelement;BGT_OVERBRUGGINGSDEEL;vw_bgt_overbruggingsdeel
bgt_pand.gml;buildingpart;BGT_PAND;vw_bgt_pand
bgt_plaatsbepalingspunt.gml;plaatsbepalingspunt;BGT_PLAATSBEPALINGSPUNT;vw_bgt_plaatsbepalingspunt
bgt_tunneldeel.gml;tunnelpart;BGT_TUNNELDEEL;vw_bgt_tunneldeel
bgt_waterdeel.gml;waterdeel;BGT_WATERDEEL;vw_bgt_waterdeel
bgt_wegdeel.gml;trafficarea;BGT_WEGDEEL;vw_bgt_wegdeel
bgt_bak.gml;bak;IMGEO_BAK;vw_imgeo_bak
bgt_bord.gml;bord;IMGEO_BORD;vw_imgeo_bord
bgt_functioneelgebied.gml;functioneelgebied;IMGEO_FUNCTIONEELGEBIED;vw_imgeo_functioneelgebied
bgt_gebouwinstallatie.gml;buildinginstallation;IMGEO_GEBOUWINSTALLATIE;vw_imgeo_gebouwinstallatie
bgt_installatie.gml;installatie;IMGEO_INSTALLATIE;vw_imgeo_installatie
bgt_kast.gml;kast;IMGEO_KAST;vw_imgeo_kast
bgt_kunstwerkdeel.gml;kunstwerkdeel;IMGEO_KUNSTWERKDEEL;vw_imgeo_kunstwerkdeel
bgt_mast.gml;mast;IMGEO_MAST;vw_imgeo_mast
bgt_overigbouwwerk.gml;overigbouwwerk;IMGEO_OVERIGBOUWWERK;vw_imgeo_overigbouwwerk
bgt_overigescheiding.gml;overigescheiding;IMGEO_OVERIGESCHEIDING;vw_imgeo_overigescheiding
bgt_paal.gml;paal;IMGEO_PAAL;vw_imgeo_paal
bgt_put.gml;put;IMGEO_PUT;vw_imgeo_put
bgt_scheiding.gml;scheiding;IMGEO_SCHEIDING;vw_imgeo_scheiding
bgt_sensor.gml;sensor;IMGEO_SENSOR;vw_imgeo_sensor
bgt_spoor.gml;railway;IMGEO_SPOOR;vw_imgeo_spoor
bgt_straatmeubilair.gml;straatmeubilair;IMGEO_STRAATMEUBILAIR;vw_imgeo_straatmeubilair
bgt_vegetatieobject.gml;solitaryvegetationobject;IMGEO_VEGETATIEOBJECT;vw_imgeo_vegetatieobject
bgt_waterinrichtingselement.gml;waterinrichtingselement;IMGEO_WATERINRICHTINGSELEMENT;vw_imgeo_waterinrichtingselement
bgt_weginrichtingselement.gml;weginrichtingselement;IMGEO_WEGINRICHTINGSELEMENT;vw_imgeo_weginrichtingselement
