gmlnaam;dbnaam
plantcover;BGT_BEGROEIDTERREINDEEL
onbegroeidterreindeel;BGT_ONBEGROEIDTERREINDEEL
ondersteunendwaterdeel;BGT_ONDERSTEUNENDWATERDEEL
auxiliarytrafficarea;BGT_ONDERSTEUNENDWEGDEEL
ongeclassificeerdobject;BGT_ONGECLASSIFICEERDOBJECT
openbareruimtelabel;BGT_OPENBARERUIMTELABEL
bridgeconstructionelement;BGT_OVERBRUGGINGSDEEL
buildingpart;BGT_PAND
plaatsbepalingspunt;BGT_PLAATSBEPALINGSPUNT
tunnelpart;BGT_TUNNELDEEL
waterdeel;BGT_WATERDEEL
trafficarea;BGT_WEGDEEL
bak;IMGEO_BAK
bord;IMGEO_BORD
functioneelgebied;IMGEO_FUNCTIONEELGEBIED
buildinginstallation;IMGEO_GEBOUWINSTALLATIE
installatie;IMGEO_INSTALLATIE
kast;IMGEO_KAST
kunstwerkdeel;IMGEO_KUNSTWERKDEEL
mast;IMGEO_MAST
overigbouwwerk;IMGEO_OVERIGBOUWWERK
overigescheiding;IMGEO_OVERIGESCHEIDING
paal;IMGEO_PAAL
put;IMGEO_PUT
scheiding;IMGEO_SCHEIDING
sensor;IMGEO_SENSOR
railway;IMGEO_SPOOR
straatmeubilair;IMGEO_STRAATMEUBILAIR
solitaryvegetationobject;IMGEO_VEGETATIEOBJECT
waterinrichtingselement;IMGEO_WATERINRICHTINGSELEMENT
weginrichtingselement;IMGEO_WEGINRICHTINGSELEMENT
