BGT_Object;bgt;plus;prioriteit
bgt_wegdeel;gesloten verharding;onbekend;2300
bgt_wegdeel;gesloten verharding;asfalt;2295
bgt_wegdeel;gesloten verharding;cementbeton;2290
bgt_wegdeel;open verharding;onbekend;2285
bgt_wegdeel;open verharding;betonstraatstenen;2280
bgt_wegdeel;open verharding;gebakken klinkers;2275
bgt_wegdeel;open verharding;tegels;2270
bgt_wegdeel;open verharding;sierbestrating;2265
bgt_wegdeel;open verharding;beton element;2260
bgt_wegdeel;half verhard;onbekend;2255
bgt_wegdeel;half verhard;grasklinkers;2250
bgt_wegdeel;half verhard;schelpen;2245
bgt_wegdeel;half verhard;puin;2240
bgt_wegdeel;half verhard;grind;2235
bgt_wegdeel;half verhard;gravel;2230
bgt_wegdeel;onverhard;onbekend;2225
bgt_wegdeel;onverhard;boomschors;2220
bgt_wegdeel;onverhard;zand;2215
bgt_wegdeel;transitie;onbekend;2210
bgt_ondersteunendwegdeel;gesloten verharding;onbekend;2200
bgt_ondersteunendwegdeel;gesloten verharding;asfalt;2198
bgt_ondersteunendwegdeel;gesloten verharding;cementbeton;2196
bgt_ondersteunendwegdeel;open verharding;onbekend;2194
bgt_ondersteunendwegdeel;open verharding;betonstraatstenen;2192
bgt_ondersteunendwegdeel;open verharding;gebakken klinkers;2190
bgt_ondersteunendwegdeel;open verharding;tegels;2188
bgt_ondersteunendwegdeel;open verharding;sierbestrating;2186
bgt_ondersteunendwegdeel;open verharding;beton element;2184
bgt_ondersteunendwegdeel;half verhard;onbekend;2182
bgt_ondersteunendwegdeel;half verhard;grasklinkers;2180
bgt_ondersteunendwegdeel;half verhard;schelpen;2178
bgt_ondersteunendwegdeel;half verhard;puin;2176
bgt_ondersteunendwegdeel;half verhard;grind;2174
bgt_ondersteunendwegdeel;half verhard;gravel;2172
bgt_ondersteunendwegdeel;onverhard;onbekend;2170
bgt_ondersteunendwegdeel;onverhard;boomschors;2168
bgt_ondersteunendwegdeel;onverhard;zand;2166
bgt_ondersteunendwegdeel;groenvoorziening;onbekend;2164
bgt_ondersteunendwegdeel;groenvoorziening;gravel;2162
bgt_ondersteunendwegdeel;groenvoorziening;bosplantsoen;2160
bgt_ondersteunendwegdeel;groenvoorziening;gras- en kruidachtigen;2158
bgt_ondersteunendwegdeel;groenvoorziening;planten;2156
bgt_ondersteunendwegdeel;groenvoorziening;struikrozen;2154
bgt_ondersteunendwegdeel;groenvoorziening;heesters;2152
bgt_ondersteunendwegdeel;groenvoorziening;bodembedekkers;2150
bgt_ondersteunendwegdeel;transitie;onbekend;2148
bgt_onbegroeidterreindeel;gesloten verharding;onbekend;2100
bgt_onbegroeidterreindeel;gesloten verharding;asfalt;2098
bgt_onbegroeidterreindeel;gesloten verharding;cementbeton;2096
