identificatie;bladnaam;geometrie
11;-8000_288000;POLYGON ((-8000 288000,-8000 290000,-6000 290000,-6000 288000,-8000 288000))
12;-6000_288000;POLYGON ((-6000 288000,-6000 290000,-4000 290000,-4000 288000,-6000 288000))
13;-4000_288000;POLYGON ((-4000 288000,-4000 290000,-2000 290000,-2000 288000,-4000 288000))
14;-2000_288000;POLYGON ((-2000 288000,-2000 290000,0 290000,0 288000,-2000 288000))
15;0_288000;POLYGON ((0 288000,0 290000,2000 290000,2000 288000,0 288000))
16;2000_288000;POLYGON ((2000 288000,2000 290000,4000 290000,4000 288000,2000 288000))
17;4000_288000;POLYGON ((4000 288000,4000 290000,6000 290000,6000 288000,4000 288000))
18;6000_288000;POLYGON ((6000 288000,6000 290000,8000 290000,8000 288000,6000 288000))
19;8000_288000;POLYGON ((8000 288000,8000 290000,10000 290000,10000 288000,8000 288000))
110;10000_288000;POLYGON ((10000 288000,10000 290000,12000 290000,12000 288000,10000 288000))
111;12000_288000;POLYGON ((12000 288000,12000 290000,14000 290000,14000 288000,12000 288000))
112;14000_288000;POLYGON ((14000 288000,14000 290000,16000 290000,16000 288000,14000 288000))
113;16000_288000;POLYGON ((16000 288000,16000 290000,18000 290000,18000 288000,16000 288000))
114;18000_288000;POLYGON ((18000 288000,18000 290000,20000 290000,20000 288000,18000 288000))
115;20000_288000;POLYGON ((20000 288000,20000 290000,22000 290000,22000 288000,20000 288000))
116;22000_288000;POLYGON ((22000 288000,22000 290000,24000 290000,24000 288000,22000 288000))
117;24000_288000;POLYGON ((24000 288000,24000 290000,26000 290000,26000 288000,24000 288000))
118;26000_288000;POLYGON ((26000 288000,26000 290000,28000 290000,28000 288000,26000 288000))
119;28000_288000;POLYGON ((28000 288000,28000 290000,30000 290000,30000 288000,28000 288000))
120;30000_288000;POLYGON ((30000 288000,30000 290000,32000 290000,32000 288000,30000 288000))
121;32000_288000;POLYGON ((32000 288000,32000 290000,34000 290000,34000 288000,32000 288000))
122;34000_288000;POLYGON ((34000 288000,34000 290000,36000 290000,36000 288000,34000 288000))
123;36000_288000;POLYGON ((36000 288000,36000 290000,38000 290000,38000 288000,36000 288000))
124;38000_288000;POLYGON ((38000 288000,38000 290000,40000 290000,40000 288000,38000 288000))
125;40000_288000;POLYGON ((40000 288000,40000 290000,42000 290000,42000 288000,40000 288000))
126;42000_288000;POLYGON ((42000 288000,42000 290000,44000 290000,44000 288000,42000 288000))
127;44000_288000;POLYGON ((44000 288000,44000 290000,46000 290000,46000 288000,44000 288000))
128;46000_288000;POLYGON ((46000 288000,46000 290000,48000 290000,48000 288000,46000 288000))
129;48000_288000;POLYGON ((48000 288000,48000 290000,50000 290000,50000 288000,48000 288000))
130;50000_288000;POLYGON ((50000 288000,50000 290000,52000 290000,52000 288000,50000 288000))
131;52000_288000;POLYGON ((52000 288000,52000 290000,54000 290000,54000 288000,52000 288000))
132;54000_288000;POLYGON ((54000 288000,54000 290000,56000 290000,56000 288000,54000 288000))
133;56000_288000;POLYGON ((56000 288000,56000 290000,58000 290000,58000 288000,56000 288000))
134;58000_288000;POLYGON ((58000 288000,58000 290000,60000 290000,60000 288000,58000 288000))
135;60000_288000;POLYGON ((60000 288000,60000 290000,62000 290000,62000 288000,60000 288000))
136;62000_288000;POLYGON ((62000 288000,62000 290000,64000 290000,64000 288000,62000 288000))
137;64000_288000;POLYGON ((64000 288000,64000 290000,66000 290000,66000 288000,64000 288000))
138;66000_288000;POLYGON ((66000 288000,66000 290000,68000 290000,68000 288000,66000 288000))
139;68000_288000;POLYGON ((68000 288000,68000 290000,70000 290000,70000 288000,68000 288000))
140;70000_288000;POLYGON ((70000 288000,70000 290000,72000 290000,72000 288000,70000 288000))
141;72000_288000;POLYGON ((72000 288000,72000 290000,74000 290000,74000 288000,72000 288000))
142;74000_288000;POLYGON ((74000 288000,74000 290000,76000 290000,76000 288000,74000 288000))
143;76000_288000;POLYGON ((76000 288000,76000 290000,78000 290000,78000 288000,76000 288000))
144;78000_288000;POLYGON ((78000 288000,78000 290000,80000 290000,80000 288000,78000 288000))
145;80000_288000;POLYGON ((80000 288000,80000 290000,82000 290000,82000 288000,80000 288000))
146;82000_288000;POLYGON ((82000 288000,82000 290000,84000 290000,84000 288000,82000 288000))
147;84000_288000;POLYGON ((84000 288000,84000 290000,86000 290000,86000 288000,84000 288000))
148;86000_288000;POLYGON ((86000 288000,86000 290000,88000 290000,88000 288000,86000 288000))
149;88000_288000;POLYGON ((88000 288000,88000 290000,90000 290000,90000 288000,88000 288000))
150;90000_288000;POLYGON ((90000 288000,90000 290000,92000 290000,92000 288000,90000 288000))
151;92000_288000;POLYGON ((92000 288000,92000 290000,94000 290000,94000 288000,92000 288000))
152;94000_288000;POLYGON ((94000 288000,94000 290000,96000 290000,96000 288000,94000 288000))
153;96000_288000;POLYGON ((96000 288000,96000 290000,98000 290000,98000 288000,96000 288000))
154;98000_288000;POLYGON ((98000 288000,98000 290000,100000 290000,100000 288000,98000 288000))
155;100000_288000;POLYGON ((100000 288000,100000 290000,102000 290000,102000 288000,100000 288000))
156;102000_288000;POLYGON ((102000 288000,102000 290000,104000 290000,104000 288000,102000 288000))
157;104000_288000;POLYGON ((104000 288000,104000 290000,106000 290000,106000 288000,104000 288000))
158;106000_288000;POLYGON ((106000 288000,106000 290000,108000 290000,108000 288000,106000 288000))
159;108000_288000;POLYGON ((108000 288000,108000 290000,110000 290000,110000 288000,108000 288000))
160;110000_288000;POLYGON ((110000 288000,110000 290000,112000 290000,112000 288000,110000 288000))
161;112000_288000;POLYGON ((112000 288000,112000 290000,114000 290000,114000 288000,112000 288000))
162;114000_288000;POLYGON ((114000 288000,114000 290000,116000 290000,116000 288000,114000 288000))
163;116000_288000;POLYGON ((116000 288000,116000 290000,118000 290000,118000 288000,116000 288000))
164;118000_288000;POLYGON ((118000 288000,118000 290000,120000 290000,120000 288000,118000 288000))
165;120000_288000;POLYGON ((120000 288000,120000 290000,122000 290000,122000 288000,120000 288000))
166;122000_288000;POLYGON ((122000 288000,122000 290000,124000 290000,124000 288000,122000 288000))
167;124000_288000;POLYGON ((124000 288000,124000 290000,126000 290000,126000 288000,124000 288000))
168;126000_288000;POLYGON ((126000 288000,126000 290000,128000 290000,128000 288000,126000 288000))
169;128000_288000;POLYGON ((128000 288000,128000 290000,130000 290000,130000 288000,128000 288000))
170;130000_288000;POLYGON ((130000 288000,130000 290000,132000 290000,132000 288000,130000 288000))
171;132000_288000;POLYGON ((132000 288000,132000 290000,134000 290000,134000 288000,132000 288000))
172;134000_288000;POLYGON ((134000 288000,134000 290000,136000 290000,136000 288000,134000 288000))
173;136000_288000;POLYGON ((136000 288000,136000 290000,138000 290000,138000 288000,136000 288000))
174;138000_288000;POLYGON ((138000 288000,138000 290000,140000 290000,140000 288000,138000 288000))
175;140000_288000;POLYGON ((140000 288000,140000 290000,142000 290000,142000 288000,140000 288000))
176;142000_288000;POLYGON ((142000 288000,142000 290000,144000 290000,144000 288000,142000 288000))
177;144000_288000;POLYGON ((144000 288000,144000 290000,146000 290000,146000 288000,144000 288000))
178;146000_288000;POLYGON ((146000 288000,146000 290000,148000 290000,148000 288000,146000 288000))
179;148000_288000;POLYGON ((148000 288000,148000 290000,150000 290000,150000 288000,148000 288000))
180;150000_288000;POLYGON ((150000 288000,150000 290000,152000 290000,152000 288000,150000 288000))
181;152000_288000;POLYGON ((152000 288000,152000 290000,154000 290000,154000 288000,152000 288000))
182;154000_288000;POLYGON ((154000 288000,154000 290000,156000 290000,156000 288000,154000 288000))
183;156000_288000;POLYGON ((156000 288000,156000 290000,158000 290000,158000 288000,156000 288000))
184;158000_288000;POLYGON ((158000 288000,158000 290000,160000 290000,160000 288000,158000 288000))
185;160000_288000;POLYGON ((160000 288000,160000 290000,162000 290000,162000 288000,160000 288000))
186;162000_288000;POLYGON ((162000 288000,162000 290000,164000 290000,164000 288000,162000 288000))
187;164000_288000;POLYGON ((164000 288000,164000 290000,166000 290000,166000 288000,164000 288000))
188;166000_288000;POLYGON ((166000 288000,166000 290000,168000 290000,168000 288000,166000 288000))
189;168000_288000;POLYGON ((168000 288000,168000 290000,170000 290000,170000 288000,168000 288000))
190;170000_288000;POLYGON ((170000 288000,170000 290000,172000 290000,172000 288000,170000 288000))
191;172000_288000;POLYGON ((172000 288000,172000 290000,174000 290000,174000 288000,172000 288000))
192;174000_288000;POLYGON ((174000 288000,174000 290000,176000 290000,176000 288000,174000 288000))
193;176000_288000;POLYGON ((176000 288000,176000 290000,178000 290000,178000 288000,176000 288000))
194;178000_288000;POLYGON ((178000 288000,178000 290000,180000 290000,180000 288000,178000 288000))
195;180000_288000;POLYGON ((180000 288000,180000 290000,182000 290000,182000 288000,180000 288000))
196;182000_288000;POLYGON ((182000 288000,182000 290000,184000 290000,184000 288000,182000 288000))
197;184000_288000;POLYGON ((184000 288000,184000 290000,186000 290000,186000 288000,184000 288000))
198;186000_288000;POLYGON ((186000 288000,186000 290000,188000 290000,188000 288000,186000 288000))
199;188000_288000;POLYGON ((188000 288000,188000 290000,190000 290000,190000 288000,188000 288000))
1100;190000_288000;POLYGON ((190000 288000,190000 290000,192000 290000,192000 288000,190000 288000))
1101;192000_288000;POLYGON ((192000 288000,192000 290000,194000 290000,194000 288000,192000 288000))
1102;194000_288000;POLYGON ((194000 288000,194000 290000,196000 290000,196000 288000,194000 288000))
1103;196000_288000;POLYGON ((196000 288000,196000 290000,198000 290000,198000 288000,196000 288000))
1104;198000_288000;POLYGON ((198000 288000,198000 290000,200000 290000,200000 288000,198000 288000))
1105;200000_288000;POLYGON ((200000 288000,200000 290000,202000 290000,202000 288000,200000 288000))
1106;202000_288000;POLYGON ((202000 288000,202000 290000,204000 290000,204000 288000,202000 288000))
1107;204000_288000;POLYGON ((204000 288000,204000 290000,206000 290000,206000 288000,204000 288000))
1108;206000_288000;POLYGON ((206000 288000,206000 290000,208000 290000,208000 288000,206000 288000))
1109;208000_288000;POLYGON ((208000 288000,208000 290000,210000 290000,210000 288000,208000 288000))
1110;210000_288000;POLYGON ((210000 288000,210000 290000,212000 290000,212000 288000,210000 288000))
1111;212000_288000;POLYGON ((212000 288000,212000 290000,214000 290000,214000 288000,212000 288000))
1112;214000_288000;POLYGON ((214000 288000,214000 290000,216000 290000,216000 288000,214000 288000))
1113;216000_288000;POLYGON ((216000 288000,216000 290000,218000 290000,218000 288000,216000 288000))
1114;218000_288000;POLYGON ((218000 288000,218000 290000,220000 290000,220000 288000,218000 288000))
1115;220000_288000;POLYGON ((220000 288000,220000 290000,222000 290000,222000 288000,220000 288000))
1116;222000_288000;POLYGON ((222000 288000,222000 290000,224000 290000,224000 288000,222000 288000))
1117;224000_288000;POLYGON ((224000 288000,224000 290000,226000 290000,226000 288000,224000 288000))
1118;226000_288000;POLYGON ((226000 288000,226000 290000,228000 290000,228000 288000,226000 288000))
1119;228000_288000;POLYGON ((228000 288000,228000 290000,230000 290000,230000 288000,228000 288000))
1120;230000_288000;POLYGON ((230000 288000,230000 290000,232000 290000,232000 288000,230000 288000))
1121;232000_288000;POLYGON ((232000 288000,232000 290000,234000 290000,234000 288000,232000 288000))
1122;234000_288000;POLYGON ((234000 288000,234000 290000,236000 290000,236000 288000,234000 288000))
1123;236000_288000;POLYGON ((236000 288000,236000 290000,238000 290000,238000 288000,236000 288000))
1124;238000_288000;POLYGON ((238000 288000,238000 290000,240000 290000,240000 288000,238000 288000))
1125;240000_288000;POLYGON ((240000 288000,240000 290000,242000 290000,242000 288000,240000 288000))
1126;242000_288000;POLYGON ((242000 288000,242000 290000,244000 290000,244000 288000,242000 288000))
1127;244000_288000;POLYGON ((244000 288000,244000 290000,246000 290000,246000 288000,244000 288000))
1128;246000_288000;POLYGON ((246000 288000,246000 290000,248000 290000,248000 288000,246000 288000))
1129;248000_288000;POLYGON ((248000 288000,248000 290000,250000 290000,250000 288000,248000 288000))
1130;250000_288000;POLYGON ((250000 288000,250000 290000,252000 290000,252000 288000,250000 288000))
1131;252000_288000;POLYGON ((252000 288000,252000 290000,254000 290000,254000 288000,252000 288000))
1132;254000_288000;POLYGON ((254000 288000,254000 290000,256000 290000,256000 288000,254000 288000))
1133;256000_288000;POLYGON ((256000 288000,256000 290000,258000 290000,258000 288000,256000 288000))
1134;258000_288000;POLYGON ((258000 288000,258000 290000,260000 290000,260000 288000,258000 288000))
1135;260000_288000;POLYGON ((260000 288000,260000 290000,262000 290000,262000 288000,260000 288000))
1136;262000_288000;POLYGON ((262000 288000,262000 290000,264000 290000,264000 288000,262000 288000))
1137;264000_288000;POLYGON ((264000 288000,264000 290000,266000 290000,266000 288000,264000 288000))
1138;266000_288000;POLYGON ((266000 288000,266000 290000,268000 290000,268000 288000,266000 288000))
1139;268000_288000;POLYGON ((268000 288000,268000 290000,270000 290000,270000 288000,268000 288000))
1140;270000_288000;POLYGON ((270000 288000,270000 290000,272000 290000,272000 288000,270000 288000))
1141;272000_288000;POLYGON ((272000 288000,272000 290000,274000 290000,274000 288000,272000 288000))
1142;274000_288000;POLYGON ((274000 288000,274000 290000,276000 290000,276000 288000,274000 288000))
1143;276000_288000;POLYGON ((276000 288000,276000 290000,278000 290000,278000 288000,276000 288000))
1144;278000_288000;POLYGON ((278000 288000,278000 290000,280000 290000,280000 288000,278000 288000))
1145;280000_288000;POLYGON ((280000 288000,280000 290000,282000 290000,282000 288000,280000 288000))
1146;282000_288000;POLYGON ((282000 288000,282000 290000,284000 290000,284000 288000,282000 288000))
1147;284000_288000;POLYGON ((284000 288000,284000 290000,286000 290000,286000 288000,284000 288000))
1148;286000_288000;POLYGON ((286000 288000,286000 290000,288000 290000,288000 288000,286000 288000))
1149;288000_288000;POLYGON ((288000 288000,288000 290000,290000 290000,290000 288000,288000 288000))
1150;290000_288000;POLYGON ((290000 288000,290000 290000,292000 290000,292000 288000,290000 288000))
1151;292000_288000;POLYGON ((292000 288000,292000 290000,294000 290000,294000 288000,292000 288000))
1152;294000_288000;POLYGON ((294000 288000,294000 290000,296000 290000,296000 288000,294000 288000))
