GEMEENTE;GME_ID
Aalsmeer;0358
Almere;0034
Amstelveen;0362
Amsterdam;0363
Baarn;0308
Beemster;0370
Beverwijk;0375
Blaricum;0376
Bloemendaal;0377
De Ronde Venen;0736
Diemen;0384
Edam-Volendam;0385
Eemnes;0317
Gooise Meren;1942
Haarlem;0392
Haarlemmermeer;0394
Heemskerk;0396
Heemstede;0397
Hillegom;0534
Hilversum;0402
Huizen;0406
Landsmeer;0415
Laren;0417
Lelystad;0995
Lisse;0553
Noordwijk;0575
Oostzaan;0431
Ouder-Amstel;0437
Purmerend;0439
Stichtse Vecht;1904
Uitgeest;0450
Uithoorn;0451
Velsen;0453
Waterland;0852
Weesp;0457
Wijdemeren;1696
Wormerland;0880
Zaanstad;0479
Zandvoort;0473
